"FIPS","GeoName","LandingPageLink","DownloadLink"
"55001","Adams","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/n6qukdtg2vf9odj0kk1ehzfx99up424n.zip"
"55003","Ashland","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/5odm3i0f1o7owprryhpy87k4m888jhyz.zip"
"55005","Barron","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/th6gf1jpd07qhlpf84t30njh92v4i8cm.zip"
"55007","Bayfield","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/x2o271069zjxeefirfe88pp1abxs82ug.zip"
"55009","Brown","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/fz8a05vc5jgr9kmaphwa2io2hfa6kmkc.zip"
"55011","Buffalo","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/q9eeh8bmtxrrw413gzklhd598rqpqq39.zip"
"55013","Burnett","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/unztw92tvsyfjdcy1dqryv2bhsglg7gq.zip"
"55015","Calumet","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/vim01k5414fqlh7zkvtrnigmrrwq38ma.zip"
"55017","Chippewa","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/u5iv7qkkne9vrfn58vurtbd9kkhrc56c.zip"
"55019","Clark","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/x9i6qx4en67fykqgsy9opcvpyiqkyvkh.zip"
"55021","Columbia","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/3qgyoyr98up57jn6v0np2buc18x88mhg.zip"
"55023","Crawford","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/htxbxxzt9el98f7bke28lpcrqmjjlrgx.zip"
"55025","Dane","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/wiefgcn1c6o48gsuia9yuotoihnogvo3.zip"
"55027","Dodge","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/1oxbmf8q0cbry7x0vrwnj16q0v1o66n1.zip"
"55029","Door","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/8py2ipc6wa5xhr6tmo9q5wrrogqqc0ud.zip"
"55031","Douglas","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/5z5g7qaeikpohyze3r19gdbvhs9j241h.zip"
"55033","Dunn","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/e2dlxog03h2q8tx7e5uppa9gzq1s502f.zip"
"55035","Eau Claire","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/ryxc1acbc9qna83ec2zty1k179s0bigb.zip"
"55037","Florence","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/yjsydymjeho8cx9ocxzdx5w5lnwejb6n.zip"
"55039","Fond du Lac","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/fjsvtyxvndmoxofz31z0ywj3e3m7cfh2.zip"
"55041","Forest","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/d1yie7pwfb7k04ovshwisbypsttfjklj.zip"
"55043","Grant","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/fvahplcu0r5zzlhu0r28wfh5zp09cl3q.zip"
"55045","Green","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/nbvqot5c0xfkpel90evugbli8opc45l8.zip"
"55047","Green Lake","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/zndpc60zbaa3svehk6j8kza92ewlypro.zip"
"55049","Iowa","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/7882fu1iris70b33wwv8qqgfb18kw0lx.zip"
"55051","Iron","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/9n0wllylw5shoj09uq9sq3a4pxi8h6h0.zip"
"55053","Jackson","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/7rkm5a0zjhz8px9i94adxwcf17cdb6zq.zip"
"55055","Jefferson","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/omotwi30v2ihk2pxr1nj9206fl5f8j2c.zip"
"55057","Juneau","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/ayqjlc7ftgi2mwvg0gstp38pc769cin9.zip"
"55059","Kenosha","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/3l43gsxc9n1ogthbbbjg0yomxiin0b0u.zip"
"55061","Kewaunee","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/7wm6hx15wr0na684xi585wdbu2oicqjj.zip"
"55063","La Crosse","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/o1fmqy77sw005tgxtedj7w37hq2onsdi.zip"
"55065","Lafayette","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/u7yzr9rvto3k2jq7uaj211k5yk7lws4g.zip"
"55067","Langlade","https://www.sco.wisc.edu/parcels/data-county/","https://uwmadison.box.com/shared/static/hpayzrnxc3n28v3jfdgvarczirkytvet.zip"
